avgTricks,S_TotalPoints,W_TotalPoints,N_TotalPoints,E_TotalPoints,S_unprot,W_unprot,N_unprot,E_unprot,S_pos,W_pos,N_pos,E_pos,S_Len_Trump,W_Len_Trump,N_Len_Trump,E_Len_Trump,S_Ace_Rat,W_Ace_Rat,N_Ace_Rat,E_Ace_Rat,trump
6,1,3,2,1,J,,JQ,Q,TRUE,TRUE,FALSE,FALSE,2,4,6,1,0,0,0,0,D
6,1,3,2,1,J,,JQ,Q,TRUE,TRUE,FALSE,FALSE,2,4,6,1,0,0,0,0,D
8,0,1,2,3,,,,,FALSE,TRUE,TRUE,FALSE,5,4,0,4,0,0,1,0,S
11,3,1,1,0,K,,J,JJ,TRUE,FALSE,FALSE,TRUE,1,4,6,2,0,0,0,0,H
13,1,1,3,0,J,,,,FALSE,TRUE,FALSE,TRUE,2,2,6,3,0,0,0,0,S
9,2,1,2,1,QJ,,,,TRUE,TRUE,FALSE,TRUE,5,1,5,2,0,0,0,0,C
10,1,2,0,2,,JQ,Q,,TRUE,FALSE,TRUE,TRUE,0,4,5,4,0,0,0,0,S
9,2,1,1,1,,J,,,TRUE,TRUE,FALSE,TRUE,6,4,3,0,0,0,0,0,H
12,3,1,1,0,,K,JJ,,FALSE,TRUE,FALSE,TRUE,6,1,3,3,0,0,0,0,H
12,3,1,1,0,,K,JJ,,FALSE,TRUE,FALSE,TRUE,6,1,3,3,0,0,0,0,H
10,1,3,1,0,JJ,,K,,TRUE,FALSE,FALSE,TRUE,4,5,1,3,0,0,0,0,S
11,1,2,1,1,,,J,J,TRUE,TRUE,TRUE,FALSE,1,7,3,2,0,0,0,0,D
9,1,1,1,2,J,JQ,J,K,TRUE,FALSE,TRUE,FALSE,4,2,2,5,0,0,0,0,S
11,3,1,1,1,,,,J,FALSE,FALSE,FALSE,TRUE,4,1,5,3,0,0,0,0,S
9,0,1,2,1,Q,J,,Q,TRUE,TRUE,FALSE,FALSE,2,2,3,6,0,0,0,0,C
